PLANT_UNQ,YEAR,CLASS,OBS_ID,COHORT,PLANT NUM,xDIAM_cm,SEEDS_DC,MEDIAN_INFL,INFL_CLASS,MAX_INFL,OBS_INLF,SEEDS_YR_INF,CAGED,WATERED
A_1,1994,A1,1,A,1,12,26.7,5,1,111,,,N,N
A_3,1994,A1,3,A,3,11,26.7,0,0,0,,,N,N
B_13,1994,A1,20,B,13,17,26.7,5,1,111,,,N,N
B_17,1994,A1,24,B,17,12,26.7,0,0,0,,,N,N
B_4,1994,A1,11,B,4,18,26.7,5,1,111,,,N,N
B_9,1994,A1,16,B,9,12,26.7,5,1,111,,,N,N
B_14,1994,A2,21,B,14,23,476.6,18,2,123,,,N,N
B_19,1994,A2,26,B,19,22,476.6,18,2,123,,,N,N
B_5,1994,A2,12,B,5,29,476.6,18,2,123,,,N,N
A_2,1994,A3,2,A,2,32,668.1,18,2,123,,,N,N
A_7,1994,A3,7,A,7,36,668.1,18,2,123,,,N,N
A_5,1994,A4,5,A,5,48,1860,18,2,123,,,N,N
B_6,1994,A4,13,B,6,49,1860,181,4,312,,,N,N
A_4,1994,J,4,A,4,5,0,0,0,0,,,N,N
A_6,1994,J,6,A,6,7,0,0,0,0,,,N,N
B_1,1994,J,8,B,1,8,0,0,0,0,,,N,N
B_10,1994,J,17,B,10,6,0,0,0,0,,,N,N
B_11,1994,J,18,B,11,5,0,0,0,0,,,N,N
B_12,1994,J,19,B,12,5,0,0,0,0,,,N,N
B_15,1994,J,22,B,15,9,0,0,0,0,,,N,N
B_16,1994,J,23,B,16,9,0,0,0,0,,,N,N
B_18,1994,J,25,B,18,8,0,0,0,0,,,N,N
B_2,1994,J,9,B,2,3,0,0,0,0,,,N,N
B_3,1994,J,10,B,3,5,0,0,0,0,,,N,N
B_7,1994,J,14,B,7,4,0,0,0,0,,,N,N
B_8,1994,J,15,B,8,4,0,0,0,0,,,N,N
A_3,1995,A1,29,A,3,18,26.7,18,2,123,,,N,N
A_4,1995,A1,30,A,4,14,26.7,5,1,111,,,N,N
A_6,1995,A1,32,A,6,15,26.7,18,2,123,,,N,N
B_10,1995,A1,41,B,10,14,26.7,5,1,111,,,N,N
B_11,1995,A1,42,B,11,11,26.7,0,0,0,,,N,N
B_13,1995,A1,43,B,13,14,26.7,0,0,0,,,N,N
B_14,1995,A1,44,B,14,18,26.7,5,1,111,,,N,N
B_18,1995,A1,46,B,18,19,26.7,18,2,123,,,N,N
B_3,1995,A1,35,B,3,20,26.7,18,2,123,,,N,N
B_7,1995,A1,39,B,7,15,26.7,18,2,123,,,N,N
C_23,1995,A1,70,C,23,16,26.7,5,1,111,,,N,N
C_3,1995,A1,50,C,3,17,26.7,5,1,111,,,N,N
C_9,1995,A1,56,C,9,12,26.7,0,0,0,,,N,N
D_10,1995,A1,83,D,10,14,26.7,0,0,0,,,N,N
D_18,1995,A1,91,D,18,20,26.7,18,2,123,,,N,N
D_26,1995,A1,99,D,26,11,26.7,0,0,0,,,N,N
D_29,1995,A1,102,D,29,13,26.7,5,1,111,,,N,N
D_6,1995,A1,79,D,6,11,26.7,0,0,0,,,N,N
D_7,1995,A1,80,D,7,19,26.7,5,1,111,,,N,N
E_1,1995,A1,103,E,1,16,26.7,5,1,111,,,N,N
