Loc,Plot,PAR,N,light,Ph.ave,sm.t1,habitat,wplot,mat,mt.warm.month,mt.coldest,mt.apr,mt.may,days0may,days0april,days0,longdays0,gdd,mmp,mp.april,mp.may,mt.driest,n.droughts.gs,long.drought.gs,wplot.1,wplot.2,wplot.3,wplot.4,wplot.5,wplot.6,wplot.7,wplot.8,wplot.9,wplot.10,wplot.11,wplot.12,wplot.13,wplot.14,wplot.15,wplot.16,wplot.17,wplot.18,wplot.19,wplot.20,wplot.21,wregion.1,wregion.2,wregion.3,wregion.4,wregion.5
CT,BMC,-0.681398932,1.549903937,-1.165466055,-0.625430981,0.409184483,0,1,1.292971771,1.20543811,1.2040143,1.445832077,1.301114889,-0.310496176,-0.984600262,-1.209186222,-1.089600866,1.255462211,0.305089401,1.171257326,-0.609578177,0.389664826,0.509958956,1.506427021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CT,BMD,-0.521860861,0.218110556,-0.164726168,-1.238622608,2.34496702,1,2,1.292971771,1.20543811,1.2040143,1.445832077,1.301114889,-0.310496176,-0.984600262,-1.209186222,-1.089600866,1.255462211,0.305089401,1.171257326,-0.609578177,0.389664826,0.509958956,1.506427021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CT,JC,-0.588099107,-1.188762244,-0.172598713,-0.713029785,-0.66524296,0,3,1.292971771,1.20543811,1.2040143,1.445832077,1.301114889,-0.310496176,-0.984600262,-1.209186222,-1.089600866,1.255462211,0.305089401,1.171257326,-0.609578177,0.389664826,0.509958956,1.506427021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CT,JD,-0.550967111,-0.906925657,0.21215696,-0.82982819,-0.627623744,0,4,1.292971771,1.20543811,1.2040143,1.445832077,1.301114889,-0.310496176,-0.984600262,-1.209186222,-1.089600866,1.255462211,0.305089401,1.171257326,-0.609578177,0.389664826,0.509958956,1.506427021,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CT,PSA,-0.628201663,1.555679276,-0.484893617,-0.187436962,-0.735637644,0,5,1.193697939,1.072703223,1.142772427,1.309358701,1.174046921,-0.310496176,-0.858978196,-1.10883747,-1.080017204,1.118208541,0.373971312,1.097596077,-0.503257804,0.766009569,0.509958956,1.506427021,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CT,PSB,2.244968033,-1.259221391,1.185434547,-0.450233373,-1.553125611,1,6,1.193697939,1.072703223,1.142772427,1.309358701,1.174046921,-0.310496176,-0.858978196,-1.10883747,-1.080017204,1.118208541,0.373971312,1.097596077,-0.503257804,0.766009569,0.509958956,1.506427021,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CT,SMFC,-0.538974168,2.021171673,-1.266338731,-1.297021811,-0.383914176,0,7,1.194002038,1.071566682,1.13632923,1.325592812,1.182326938,-0.310496176,-0.858978196,-1.10482352,-1.080017204,1.12121215,0.392433441,1.088565893,-0.541845439,0.352761399,0.120229606,1.506427021,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ME,AFA,0.87961966,-0.536379849,1.625791531,0.016960247,0.321873234,1,8,-0.997387805,-0.589386759,-1.219256933,-0.966661752,-0.813168435,-0.310496176,0.60661258,0.918207337,1.402151378,-0.651081208,-3.317442525,-2.883632904,-2.593829533,-1.589044239,-0.46436442,0.387107622,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ME,AFB,-0.544114,-0.16190681,-0.076734207,-0.391834171,-0.38426726,0,9,-0.997387805,-0.589386759,-1.219256933,-0.966661752,-0.813168435,-0.310496176,0.60661258,0.918207337,1.402151378,-0.651081208,-3.317442525,-2.883632904,-2.593829533,-1.589044239,-0.46436442,0.387107622,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ME,LYA,1.884285626,-0.16768215,0.897330412,0.104559051,-0.390618403,1,10,0.048424026,0.258783429,-0.087143797,0.051207426,0.044858946,-0.310496176,-0.523986018,-0.03711279,0.261695543,0.121992483,-0.564385616,-0.456389491,-0.118719888,0.005769763,0.704823631,-0.35910531,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
